; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-29 18:46:10
; Channels (2/16)
; ChannelsType: 3
; Sample rate: 5 MHz
; Sample count: 58.151489 M
; Sampling time: 2026-05-29 18:45:18.096
SystemTime, Time(s), Channel 0, Channel 1
'2026-05-29 18:45:18.581953800,0.485953800,1,1
'2026-05-29 18:45:18.581979800,0.485979800,1,0
'2026-05-29 18:45:18.581988400,0.485988400,1,1
'2026-05-29 18:45:18.581997200,0.485997200,1,0
'2026-05-29 18:45:18.582023200,0.486023200,1,1
'2026-05-29 18:45:18.582032000,0.486032000,1,0
'2026-05-29 18:45:18.582110200,0.486110200,1,1
'2026-05-29 18:45:18.582118800,0.486118800,1,0
'2026-05-29 18:45:18.582197000,0.486197000,1,1
'2026-05-29 18:45:18.582205600,0.486205600,1,0
'2026-05-29 18:45:18.582214400,0.486214400,1,1
'2026-05-29 18:45:18.582223000,0.486223000,1,0
'2026-05-29 18:45:18.582231800,0.486231800,1,1
'2026-05-29 18:45:18.582249200,0.486249200,1,0
'2026-05-29 18:45:18.582257800,0.486257800,1,1
'2026-05-29 18:45:18.582266600,0.486266600,1,0
'2026-05-29 18:45:18.582283800,0.486283800,1,1
'2026-05-29 18:45:18.582292600,0.486292600,1,0
'2026-05-29 18:45:18.582301200,0.486301200,1,1
'2026-05-29 18:45:18.582310000,0.486310000,1,0
'2026-05-29 18:45:18.582318600,0.486318600,1,1
'2026-05-29 18:45:18.582336000,0.486336000,1,0
'2026-05-29 18:45:18.582370800,0.486370800,1,1
'2026-05-29 18:45:18.582379400,0.486379400,1,0
'2026-05-29 18:45:18.582457600,0.486457600,1,1
'2026-05-29 18:45:18.582466400,0.486466400,1,0
'2026-05-29 18:45:18.582544600,0.486544600,1,1
'2026-05-29 18:45:18.582553200,0.486553200,1,0
'2026-05-29 18:45:18.582605400,0.486605400,1,1
'2026-05-29 18:45:18.582640000,0.486640000,1,0
'2026-05-29 18:45:18.582718200,0.486718200,1,1
'2026-05-29 18:45:18.582727000,0.486727000,1,0
'2026-05-29 18:45:18.582753000,0.486753000,1,1
'2026-05-29 18:45:18.582761800,0.486761800,1,0
'2026-05-29 18:45:18.582805200,0.486805200,1,1
'2026-05-29 18:45:18.582813800,0.486813800,1,0
'2026-05-29 18:45:18.582822600,0.486822600,1,1
'2026-05-29 18:45:18.582848600,0.486848600,1,0
'2026-05-29 18:45:18.582857200,0.486857200,1,1
'2026-05-29 18:45:18.582874600,0.486874600,1,0
'2026-05-29 18:45:18.582892000,0.486892000,1,1
'2026-05-29 18:45:18.582900800,0.486900800,1,0
'2026-05-29 18:45:18.582979000,0.486979000,1,1
'2026-05-29 18:45:18.582987600,0.486987600,1,0
'2026-05-29 18:45:18.583065800,0.487065800,1,1
'2026-05-29 18:45:18.583074400,0.487074400,1,0
'2026-05-29 18:45:18.583152600,0.487152600,1,1
'2026-05-29 18:45:18.583161400,0.487161400,1,0
'2026-05-29 18:45:18.583239600,0.487239600,1,1
'2026-05-29 18:45:18.583248200,0.487248200,1,0
'2026-05-29 18:45:18.583257000,0.487257000,1,1
'2026-05-29 18:45:18.583274400,0.487274400,1,0
'2026-05-29 18:45:18.583326400,0.487326400,1,1
'2026-05-29 18:45:18.583335200,0.487335200,1,0
'2026-05-29 18:45:18.583404600,0.487404600,1,1
'2026-05-29 18:45:18.583422000,0.487422000,1,0
'2026-05-29 18:45:18.583500200,0.487500200,1,1
'2026-05-29 18:45:18.583509000,0.487509000,1,0
'2026-05-29 18:45:18.583587000,0.487587000,1,1
'2026-05-29 18:45:18.583595800,0.487595800,1,0
'2026-05-29 18:45:18.583604400,0.487604400,1,1
'2026-05-29 18:45:18.583621800,0.487621800,1,0
'2026-05-29 18:45:18.583639200,0.487639200,1,1
'2026-05-29 18:45:18.583648000,0.487648000,1,0
'2026-05-29 18:45:18.583674000,0.487674000,1,1
'2026-05-29 18:45:18.583682600,0.487682600,1,0
'2026-05-29 18:45:18.583691400,0.487691400,1,1
'2026-05-29 18:45:18.583700000,0.487700000,1,0
'2026-05-29 18:45:18.583760800,0.487760800,1,1
'2026-05-29 18:45:18.583769600,0.487769600,1,0
'2026-05-29 18:45:18.583795600,0.487795600,1,1
'2026-05-29 18:45:18.583804400,0.487804400,1,0
'2026-05-29 18:45:18.583821600,0.487821600,1,1
'2026-05-29 18:45:18.583839000,0.487839000,1,0
'2026-05-29 18:45:18.583847800,0.487847800,1,1
'2026-05-29 18:45:18.583856400,0.487856400,1,0
'2026-05-29 18:45:18.583934600,0.487934600,1,1
'2026-05-29 18:45:18.583943400,0.487943400,1,0
'2026-05-29 18:45:18.584021400,0.488021400,1,1
'2026-05-29 18:45:18.584030200,0.488030200,1,0
'2026-05-29 18:45:18.584065000,0.488065000,1,1
'2026-05-29 18:45:18.584082400,0.488082400,1,0
'2026-05-29 18:45:18.584091000,0.488091000,1,1
'2026-05-29 18:45:18.584099800,0.488099800,1,0
'2026-05-29 18:45:18.584108400,0.488108400,1,1
'2026-05-29 18:45:18.584117000,0.488117000,1,0
'2026-05-29 18:45:18.584134400,0.488134400,1,1
'2026-05-29 18:45:18.584143200,0.488143200,1,0
'2026-05-29 18:45:18.584186600,0.488186600,1,1
'2026-05-29 18:45:18.584204000,0.488204000,1,0
'2026-05-29 18:45:18.584238600,0.488238600,1,1
'2026-05-29 18:45:18.584256000,0.488256000,1,0
'2026-05-29 18:45:18.584264800,0.488264800,1,1
'2026-05-29 18:45:18.584273400,0.488273400,1,0
'2026-05-29 18:45:18.584282200,0.488282200,1,1
'2026-05-29 18:45:18.584290800,0.488290800,1,0
'2026-05-29 18:45:18.584308200,0.488308200,1,1
'2026-05-29 18:45:18.584316800,0.488316800,1,0
'2026-05-29 18:45:18.584369000,0.488369000,1,1
'2026-05-29 18:45:18.584377800,0.488377800,1,0
'2026-05-29 18:45:18.584455800,0.488455800,1,1
'2026-05-29 18:45:18.584464600,0.488464600,1,0
'2026-05-29 18:45:18.584542800,0.488542800,1,1
'2026-05-29 18:45:18.584551400,0.488551400,1,0
'2026-05-29 18:45:18.584560200,0.488560200,1,1
'2026-05-29 18:45:18.584621000,0.488621000,1,0
'2026-05-29 18:45:18.584629600,0.488629600,1,1
'2026-05-29 18:45:18.584638400,0.488638400,1,0
'2026-05-29 18:45:18.584647000,0.488647000,1,1
'2026-05-29 18:45:18.584655800,0.488655800,1,0
'2026-05-29 18:45:18.584707800,0.488707800,1,1
'2026-05-29 18:45:18.584725200,0.488725200,1,0
'2026-05-29 18:45:18.584733800,0.488733800,1,1
'2026-05-29 18:45:18.584742600,0.488742600,1,0
'2026-05-29 18:45:18.584760000,0.488760000,1,1
'2026-05-29 18:45:18.584768600,0.488768600,1,0
'2026-05-29 18:45:18.584777400,0.488777400,1,1
'2026-05-29 18:45:18.584786000,0.488786000,1,0
'2026-05-29 18:45:18.584803400,0.488803400,1,1
'2026-05-29 18:45:18.584812000,0.488812000,1,0
'2026-05-29 18:45:18.584820800,0.488820800,1,1
'2026-05-29 18:45:18.584838200,0.488838200,1,0
'2026-05-29 18:45:18.584890200,0.488890200,1,1
'2026-05-29 18:45:18.584899000,0.488899000,1,0
'2026-05-29 18:45:18.584907600,0.488907600,1,1
'2026-05-29 18:45:18.584933800,0.488933800,1,0
'2026-05-29 18:45:18.584942400,0.488942400,1,1
'2026-05-29 18:45:18.584951200,0.488951200,1,0
'2026-05-29 18:45:18.584968400,0.488968400,1,1
'2026-05-29 18:45:18.584985800,0.488985800,1,0
'2026-05-29 18:45:18.585003200,0.489003200,1,1
'2026-05-29 18:45:18.585020600,0.489020600,1,0
'2026-05-29 18:45:18.585029200,0.489029200,1,1
'2026-05-29 18:45:18.585038000,0.489038000,1,0
'2026-05-29 18:45:18.585046600,0.489046600,1,1
'2026-05-29 18:45:19.582555000,1.486555000,1,0
'2026-05-29 18:45:19.582563600,1.486563600,1,1
'2026-05-29 18:45:19.582572400,1.486572400,1,0
'2026-05-29 18:45:19.582581000,1.486581000,1,1
'2026-05-29 18:45:19.582589600,1.486589600,1,0
'2026-05-29 18:45:19.582598400,1.486598400,1,1
'2026-05-29 18:45:19.582607000,1.486607000,1,0
'2026-05-29 18:45:19.582615800,1.486615800,1,1
'2026-05-29 18:45:19.582624400,1.486624400,1,0
'2026-05-29 18:45:19.582633200,1.486633200,1,1
'2026-05-29 18:45:19.582641800,1.486641800,1,0
'2026-05-29 18:45:19.582650400,1.486650400,1,1
'2026-05-29 18:45:19.582659200,1.486659200,1,0
'2026-05-29 18:45:19.582676600,1.486676600,1,1
'2026-05-29 18:45:19.582702600,1.486702600,1,0
'2026-05-29 18:45:19.582720000,1.486720000,1,1
'2026-05-29 18:45:19.582728600,1.486728600,1,0
'2026-05-29 18:45:19.582754800,1.486754800,1,1
'2026-05-29 18:45:19.582763400,1.486763400,1,0
'2026-05-29 18:45:19.582806800,1.486806800,1,1
'2026-05-29 18:45:19.582815600,1.486815600,1,0
'2026-05-29 18:45:19.582824200,1.486824200,1,1
'2026-05-29 18:45:19.582833000,1.486833000,1,0
'2026-05-29 18:45:19.582841600,1.486841600,1,1
'2026-05-29 18:45:19.582850400,1.486850400,1,0
'2026-05-29 18:45:19.582867600,1.486867600,1,1
'2026-05-29 18:45:19.582876400,1.486876400,1,0
'2026-05-29 18:45:19.582893800,1.486893800,1,1
'2026-05-29 18:45:19.582902400,1.486902400,1,0
'2026-05-29 18:45:19.582911200,1.486911200,1,1
'2026-05-29 18:45:19.582928600,1.486928600,1,0
'2026-05-29 18:45:19.582937200,1.486937200,1,1
'2026-05-29 18:45:19.582945800,1.486945800,1,0
'2026-05-29 18:45:19.582980600,1.486980600,1,1
'2026-05-29 18:45:19.582989400,1.486989400,1,0
'2026-05-29 18:45:19.583006600,1.487006600,1,1
'2026-05-29 18:45:19.583015400,1.487015400,1,0
'2026-05-29 18:45:19.583067400,1.487067400,1,1
'2026-05-29 18:45:19.583076200,1.487076200,1,0
'2026-05-29 18:45:19.583145600,1.487145600,1,1
'2026-05-29 18:45:19.583163000,1.487163000,1,0
'2026-05-29 18:45:19.583171800,1.487171800,1,1
'2026-05-29 18:45:19.583223800,1.487223800,1,0
'2026-05-29 18:45:19.583241200,1.487241200,1,1
'2026-05-29 18:45:19.583250000,1.487250000,1,0
'2026-05-29 18:45:19.583328000,1.487328000,1,1
'2026-05-29 18:45:19.583336800,1.487336800,1,0
'2026-05-29 18:45:19.583345400,1.487345400,1,1
'2026-05-29 18:45:19.583354200,1.487354200,1,0
'2026-05-29 18:45:19.583362800,1.487362800,1,1
'2026-05-29 18:45:19.583380200,1.487380200,1,0
